contig	chunk_name	organism
sample3_28	C0	Nankokuvirus sp. ct96T3K
sample3_205		Chivirus sp. ctB9OQJ
sample3_151		Peeveelvirus sp. ctGENHN
sample3_412		Pbunavirus sp. ctNV2D1
sample3_416		Pbunavirus sp. ctK1KLK
sample3_116		Rosenblumvirus sp. ctYRWI2
sample3_159		Pankowvirus sp. ct46IUD
sample3_201		Jerseyvirus sp. ct92AFI
sample3_441		Axomammavirus sp. ctM4LCV
sample3_61		Limmatquaivirus sp. ctG9Q4Z
sample3_67		Peeveelvirus sp. ctEAZLV
sample3_82		Limdunavirus sp. ct1QAX1
sample3_141		Dhakavirus sp. ctVNNGI
sample3_16	C0	Felixounavirus sp. ct5OOEG
sample3_245		Dhakavirus sp. ct7KQSP
sample3_306		Liefievirus sp. ctVHM5K
sample3_22	C0	Pakpunavirus sp. ctHPE88
sample3_230		Jerseyvirus sp. ctPTMXS
sample3_281		Felsduovirus sp. ctQU22N
sample3_437		Caudoviricetes sp. ctSU0JL
sample3_94		Pankowvirus sp. ctC2YTJ
sample3_97		Mohonavirus sp. ct52R3E
sample3_214		Dhakavirus sp. ctK1RFC
sample3_269		Tsarbombavirus sp. ct42E0Z
sample3_313		Paundecimvirus sp. ctPIBFA
sample3_346		Caudoviricetes sp. ctN6QSA
sample3_4	C0	unclassified virus sp. ctRQYP1
sample3_42		Kostyavirus sp. ctNJH4C
sample3_69		Kostyavirus sp. ctYHYL0
sample3_80		Dhakavirus sp. ctX1Y4I
sample3_114		Pahexavirus sp. ct9WFBZ
sample3_221		Paundecimvirus sp. ct59NZX
sample3_264		Rosenblumvirus sp. ct88KLF
sample3_357		Nitunavirus sp. ct9FRAC
sample3_407		Felixounavirus sp. ct2OM76
sample3_457		Felsduovirus sp. ctLE53K
sample3_466		Bacelvirus sp. ctVWVVN
sample3_7	C0	Pakpunavirus sp. ctTS7EC
sample3_319		Phapecoctavirus sp. ct7B2JE
sample3_420		Tsarbombavirus sp. ct6AIVS
sample3_11	C0	Felixounavirus sp. ct3334C
sample3_23	C0	Stopavirus sp. ctT6NU1
sample3_35		Saetivirus sp. ct2XBGZ
sample3_66		Caudoviricetes sp. ctDHZRW
sample3_92		Caudoviricetes sp. ctQOPNI
sample3_231		Dhakavirus sp. ctRJ3TT
sample3_33		Chivirus sp. ct88JJL
sample3_383		Chivirus sp. ctUNBFT
sample3_10	C0	Phietavirus sp. ctXCUHM
sample3_197		Dhakavirus sp. ctK11QO
sample3_326		Stopavirus sp. ctASM5A
sample3_336		Kostyavirus sp. ctPJ7T1
sample3_45		Fibrovirus sp. ct3MQZJ
sample3_87		Cebevirus sp. ctELU2J
sample3_103		Pahexavirus sp. ct1OVEE
sample3_215		Baltivirus sp. ctM0EM6
sample3_70		Gokushovirales sp. ctKQGWU
sample3_168		Pankowvirus sp. ctT9XCF
sample3_174		Kostyavirus sp. ct8SSZR
sample3_180		Phapecoctavirus sp. ctYO6IT
sample3_21	C0	Fromanvirus sp. ct3MROM
sample3_391		Tsarbombavirus sp. ct4DMLA
sample3_468		Paundecimvirus sp. ctQUB8T
sample3_60		Liefievirus sp. ctIDK9M
sample3_73		Dhakavirus sp. ctDSNF2
sample3_13	C0	Pakpunavirus sp. ct72KMD
sample3_142		Sarkviridae sp. ctIDFNE
sample3_162		Dhakavirus sp. ctN56PW
sample3_47		Suturavirus sp. ctY20FZ
sample3_55		Kostyavirus sp. ct54GJS
sample3_74		Jerseyvirus sp. ctCH63T
sample3_206		Mohonavirus sp. ctJD7HS
sample3_287		Dhakavirus sp. ct0NNGK
sample3_292		Peeveelvirus sp. ct0K06R
sample3_3	C0	Kilunavirus sp. ct5K3H1
sample3_376		Caudoviricetes sp. ct3HN0I
sample3_415		Tsarbombavirus sp. ct2EMHS
sample3_419		Kayvirus sp. ct81J9P
sample3_91		Jerseyvirus sp. ct3E2RU
sample3_278		Mohonavirus sp. ctC9OHT
sample3_327		Chivirus sp. ct2D4LU
sample3_464		Aguilavirus sp. ctLE4Z0
sample3_298		Kostyavirus sp. ct17R20
sample3_167		Pankowvirus sp. ctIFESC
sample3_18	C0	Pahexavirus sp. ctNL8KA
sample3_208		Phapecoctavirus sp. ct8C6UQ
sample3_268		Kostyavirus sp. ctFDREV
sample3_43		Mohonavirus sp. ctBFMEO
sample3_442		Paundecimvirus sp. ctNRHJR
sample3_462		Axomammavirus sp. ctBEKV6
sample3_217		Chivirus sp. ct47QHA
sample3_243		Chivirus sp. ctWDK2K
sample3_108		Mohonavirus sp. ctQM8Y9
sample3_115		Dhakavirus sp. ctU5LAU
sample3_120		Jerseyvirus sp. ctA2USG
sample3_122		Mosigvirus sp. ctWWDTD
sample3_127		Chivirus sp. ctJ56AI
sample3_155		Kostyavirus sp. ctFNTO5
sample3_118		Dhakavirus sp. ct2E5DD
sample3_12	C0	Nankokuvirus sp. ctRDM7A
