ORFquery	contig	target	evalue	pvalue	n_aligned_positions	hmm_coverage
sample3_48_2	sample3_48	podo_cluster.6/PDB:1MSW_D-DNA-directed-RNA-polymerase	3.1292028284484886e-228	3.597611897503436e-232	782	0.9898734177215189
sample3_67_4	sample3_67	plasmid_cluster.66/PFAM:PF13751.5-Transposase-DDE-domain-protein	5.412637725045463e-228	6.222853213434655e-232	518	0.9810606060606061
sample3_35_8	sample3_35	ino_cluster.14/PDB:5WQ8_J-Type-II-secretion-system-protein	1.505704952407093e-165	1.7310933000771362e-169	409	0.9761336515513126
sample3_3_38	sample3_3	VOG4228/PDB:5NGJ_B-Tail-tube-protein	1.2599995108063388e-155	1.4486083131827303e-159	406	0.9950980392156863
sample3_6_37	sample3_6	unclassified_dsDNA_phage_cluster.265/PDB:1UAA_A-Replicase	2.666101511551847e-155	3.065189137217575e-159	487	0.8758992805755396
sample3_22_9	sample3_22	VOG0026/PDB:4XVI_A-DNA-polymerase	2.6644142010855654e-131	3.063249253949834e-135	587	0.73375
sample3_17_19	sample3_17	VOG0026/PDB:4XVI_A-DNA-polymerase	2.5196101519116878e-126	2.8967695469207724e-130	556	0.695
sample3_14_33	sample3_14	VOG0026/PDB:4XVI_A-DNA-polymerase	8.590007630518885e-125	9.875842297676345e-129	572	0.715
sample3_21_21	sample3_21	VOG4692/PFAM:PF12705.6-PD-(D-E)XK-nuclease-superfamily	3.7053171588488305e-118	4.2599645422497474e-122	269	0.5847826086956521
sample3_57_5	sample3_57	ino_cluster.29/PFAM:PF05616.12-attachment-protein	8.063365781092507e-116	9.270367648991156e-120	380	0.7851239669421488
sample3_25_3	sample3_25	VOG0026/PDB:4XVI_A-DNA-polymerase	6.989582524849354e-115	8.035850224016273e-119	561	0.70125
sample3_56_4	sample3_56	VOG0514/PFAM:PF16784.4-Putative-HNHc-nuclease	5.030376407187853e-111	5.783371357999371e-115	222	0.9910714285714286
sample3_23_19	sample3_23	podo_cluster.4/PDB:2KFZ_A-DNA-polymerase	8.289959374697365e-109	9.530879943317274e-113	418	0.6111111111111112
sample3_168_4	sample3_168	plasmid_cluster.1/PDB:4U7B_B-Mos-transposase	7.028551250181303e-97	8.08065216162486e-101	269	0.6674937965260546
sample3_9_34	sample3_9	VOG4692/PFAM:PF12705.6-PD-(D-E)XK-nuclease-superfamily	1.3441531064064648e-89	1.5453588254845536e-93	296	0.6434782608695652
sample3_1_1	sample3_1	podo_cluster.4/PDB:2KFZ_A-DNA-polymerase	8.293454757750903e-87	9.53489854880536e-91	583	0.8523391812865497
sample3_18_17	sample3_18	VOG4692/PFAM:PF12705.6-PD-(D-E)XK-nuclease-superfamily	3.234479533734321e-86	3.7186474289886424e-90	299	0.65
sample3_4_34	sample3_4	VOG1931/PDB:1VZ0_A-ParB	3.9555776152339245e-83	4.54768638219582e-87	296	0.9456869009584664
sample3_16_14	sample3_16	VOG0026/PDB:4XVI_A-DNA-polymerase	8.823274226984233e-80	1.014402647388392e-83	436	0.545
sample3_8_27	sample3_8	podo_cluster.29/PDB:1Z19_B-Integrase	1.055495818150562e-79	1.2134925478852172e-83	349	0.9257294429708223
sample3_10_8	sample3_10	VOG10230/PDB:4CSH_C-Endolysin	2.0924774674599127e-73	2.4056995487007504e-77	150	0.2608695652173913
sample3_23_16	sample3_23	podo_cluster.9/PDB:5HML_B-Exonuclease	5.224387473676283e-72	6.006423860285448e-76	269	0.8029850746268656
sample3_5_31	sample3_5	VOG0275/PDB:1Z19_B-Integrase	1.9556340966787256e-67	2.2483721506998453e-71	322	0.6598360655737705
sample3_1_12	sample3_1	podo_cluster.9/PDB:5HML_B-Exonuclease	8.710487034814252e-67	1.0014356213858647e-70	243	0.7253731343283583
sample3_42_17	sample3_42	herell_cluster.24/PDB:3HR8_A-Protein-rec	1.0654378656653388e-66	1.2249228163547239e-70	302	0.749379652605459
sample3_86_7	sample3_86	cdd_cluster.141/CDD:cd00735-lysozymes	1.013555198829438e-65	1.1652738547130811e-69	154	0.9871794871794872
sample3_7_28	sample3_7	ackermann_cluster.184/PDB:5NM7_A-AP3-endolysin	1.7545460267398478e-64	2.0171832912621842e-68	190	0.7169811320754716
sample3_42_1	sample3_42	VOG0226/PDB:3EIV_D-Single-stranded-DNA-binding-protein	5.8129309878313205e-64	6.6830662081298235e-68	221	0.8403041825095057
sample3_7_20	sample3_7	VOG0573/PDB:4RU3_A-phage-baseplate	2.4029640002487733e-62	2.7626626813621213e-66	209	0.9372197309417041
sample3_28_9	sample3_28	VOG4593/CDD:cd03405-High-frequency-of-lysogenization-C-protein	1.608844588386329e-60	1.849671865240663e-64	268	0.8963210702341137
sample3_3_26	sample3_3	unclassified_caudo_cluster.6/PDB:3H1T_A-Type-I-site-specific-restriction-modification-protein	1.3145584925135579e-58	1.5113342061549297e-62	417	0.6629570747217806
sample3_28_21	sample3_28	cdd_cluster.416/CDD:pfam11860-N-acetylmuramidase	3.1599420519523648e-58	3.6329524625803227e-62	171	0.9884393063583815
sample3_5_42	sample3_5	VOG0321/PFAM:PF05565.10-resistance-protein	5.897231464289696e-57	6.779985587824437e-61	159	0.99375
sample3_46_2	sample3_46	VOG4632/PFAM:PF09250.10-Bifunctional-DNA-primase-polymerase	8.531785107329575e-57	9.808904469222321e-61	251	0.98046875
sample3_401_1	sample3_401	herell_cluster.55/PDB:4WLI_A-lytic-transglycosylase	6.164833752517765e-56	7.087645151204605e-60	169	0.45308310991957107
sample3_457_3	sample3_457	cdd_cluster.10/CDD:COG4540-baseplate-assembly-protein	6.30683850490169e-56	7.250906535872257e-60	131	0.7119565217391305
sample3_73_5	sample3_73	ackermann_cluster.132/PDB:1NUI_A-DNA-primase	3.278781303443169e-55	3.7695807121673596e-59	325	0.9232954545454546
sample3_56_11	sample3_56	VOG4716/PFAM:PF07768.10-PVL-ORF-50-like-protein	3.586858293556414e-55	4.123773618712824e-59	121	0.7806451612903226
sample3_3_23	sample3_3	VOG0322/PFAM:PF13479.5-AAA-domain-protein	5.751615066201455e-55	6.612571931710112e-59	235	0.6438356164383562
sample3_24_3	sample3_24	podo_cluster.29/PDB:1Z19_B-Integrase	9.802207298946943e-54	1.1269495629968893e-57	336	0.8912466843501327
sample3_15_6	sample3_15	sipho_cluster.30/PDB:3WH1_A-Chitinase-	2.6508671269836905e-53	3.047674323963774e-57	189	0.4190687361419069
sample3_17_9	sample3_17	VOG0275/PDB:1Z19_B-Integrase	3.041155270078412e-53	3.496384536765247e-57	281	0.5758196721311475
sample3_1_19	sample3_1	VOG1931/PDB:1VZ0_A-ParB	6.069166815996906e-52	6.9776578707713335e-56	281	0.8977635782747604
sample3_56_8	sample3_56	VOG0536/PFAM:PF06356.10-Endonuclease	7.851594188065372e-51	9.026896054340506e-55	133	0.9047619047619048
sample3_2_15	sample3_2	VOG1348/PDB:3CDD_D-tail-protein	1.2637893770474579e-50	1.4529654829241872e-54	276	0.6026200873362445
sample3_126_2	sample3_126	VOG0021/PDB:1JE5_B-DNA-Helix-Destabilizing-Protein	2.766156867185363e-50	3.180221737394071e-54	190	0.6440677966101694
sample3_10_7	sample3_10	VOG0275/PDB:1Z19_B-Integrase	3.745240326688086e-50	4.305863792467333e-54	314	0.6434426229508197
sample3_2_59	sample3_2	VOG4600/PDB:3SZ4_A-Exonuclease	1.5528011799066665e-49	1.7852393422702534e-53	265	0.8153846153846154
sample3_26_15	sample3_26	VOG0573/PDB:4RU3_A-phage-baseplate	1.2371327141048774e-48	1.422318595199905e-52	211	0.9461883408071748
sample3_2_53	sample3_2	mimi_cluster.7/PDB:1UAA_B-Replicase	2.7225111801117707e-48	3.1300427455872278e-52	257	0.23534798534798534
sample3_3_12	sample3_3	VOG0327/PDB:4QBL_E-Nuclease	4.4400463828886754e-48	5.104675078050903e-52	120	0.7017543859649122
