ORFquery	contig	target	evalue	pvalue	n_aligned_positions	hmm_coverage
sample3_35_1	sample3_35	ino_cluster.72/PFAM:PF05840.12-Rep-protein	0.0	0.0	687	0.9594972067039106
sample3_51_6	sample3_51	microviridae_cluster.6/PFAM:PF05840.12-Rep-protein	1.347520603673199e-265	4.171890413848913e-268	505	0.9980237154150198
sample3_8_22	sample3_8	podo_cluster.116/PDB:3BGW_F-DNAB-Like-Replicative-Helicase	3.2646041914359936e-192	1.0107133719616079e-194	386	0.9796954314720813
sample3_47_5	sample3_47	ino_cluster.62/PFAM:PF05840.12-Rep-protein	1.1658424854668542e-176	3.609419459649703e-179	303	0.8782608695652174
sample3_88_1	sample3_88	some_caudo_cluster.e158/PDB:1NLF_A-replicative-DNA-helicase	2.205808180869859e-111	6.829127494953124e-114	387	0.513262599469496
sample3_132_3	sample3_132	unclassified_dsDNA_phage_cluster.66/CDD:cd05781-DNA-polymerase-B	1.9620438638915152e-108	6.074439207094475e-111	255	0.9845559845559846
sample3_45_1	sample3_45	ino_cluster.4/PFAM:PF02486.18-Replication-initiation-factor	4.8120212335095654e-101	1.4897898555757168e-103	276	0.7479674796747967
sample3_57_9	sample3_57	ino_cluster.4/PFAM:PF02486.18-Replication-initiation-factor	9.698812260563833e-100	3.00272825404453e-102	341	0.924119241192412
sample3_70_7	sample3_70	Varsani_microviridae_cluster.0/PFAM:PF05840.12-Rep-protein	5.192880411073083e-98	1.6077029136449173e-100	269	0.736986301369863
sample3_99_1	sample3_99	podo_cluster.37/PDB:2PYJ_B-DNA-polymerase-B	4.2819880362916315e-94	1.3256928904927651e-96	396	0.6226415094339622
sample3_142_1	sample3_142	unclassified_caudo_cluster.28/CDD:cd08642-DNA-Polymerase-I	2.735468982416854e-79	8.468944218008837e-82	704	0.927536231884058
sample3_1_57	sample3_1	podo_cluster.22/PDB:3BGW_F-DNAB-Like-Replicative-Helicase	1.4851137382812134e-77	4.597875350715831e-80	412	0.9671361502347418
sample3_313_3	sample3_313	unclassified_dsDNA_phage_cluster.66/CDD:cd05781-DNA-polymerase-B	1.4953004632268254e-75	4.62941319884466e-78	146	0.5637065637065637
sample3_14_21	sample3_14	unclassified_dsDNA_phage_cluster.66/CDD:cd05781-DNA-polymerase-B	1.2963072908566157e-73	4.013335265809956e-76	245	0.9459459459459459
sample3_348_2	sample3_348	baits_missed.179/PDB:1RIF_B-DNA-helicase	4.816585984711973e-67	1.4912030912420968e-69	280	0.5761316872427984
sample3_9_31	sample3_9	all_no_hit_virus1_cluster.755/PDB:3BH0_A-DNAB-replicative-helicase	9.46617076311596e-66	2.93070302263652e-68	266	0.8986486486486487
sample3_18_14	sample3_18	all_no_hit_virus1_cluster.755/PDB:3BH0_A-DNAB-replicative-helicase	9.045404209401116e-65	2.8004347397526672e-67	266	0.8986486486486487
sample3_358_1	sample3_358	some_caudo_cluster.e158/PDB:1NLF_A-replicative-DNA-helicase	1.179708761626806e-63	3.6523491072037337e-66	193	0.25596816976127323
sample3_126_3	sample3_126	unclassified_caudo_cluster.28/CDD:cd08642-DNA-Polymerase-I	4.380694966653837e-63	1.3562523116575346e-65	448	0.5902503293807642
sample3_147_3	sample3_147	unclassified_dsDNA_phage_cluster.66/CDD:cd05781-DNA-polymerase-B	8.024536642938087e-63	2.4843766696402748e-65	248	0.9575289575289575
sample3_3_29	sample3_3	unclassified_caudo_cluster.23/PDB:5MDN_A-DNA-polymerase	4.0625061220415196e-53	1.2577418334493868e-55	256	0.34972677595628415
sample3_18_8	sample3_18	some_caudo_cluster.g139/CDD:cd07386-DNA-polymerase-II,-small-subunit	4.1164243044315135e-51	1.2744347691738432e-53	256	0.6368159203980099
sample3_9_25	sample3_9	some_caudo_cluster.g139/CDD:cd07386-DNA-polymerase-II,-small-subunit	2.813451271298878e-50	8.710375452937702e-53	256	0.6368159203980099
sample3_5_44	sample3_5	unclassified_caudo_cluster.38/PFAM:PF09681.9-replisome-organiser	5.219978015354537e-50	1.6160922648156462e-52	273	0.9820143884892086
sample3_43_14	sample3_43	unclassified_dsDNA_phage_cluster.17/CDD:cd08642-DNA-Polymerase-I	3.0819737925645576e-47	9.541714528063646e-50	264	0.616822429906542
sample3_42_12	sample3_42	unclassified_dsDNA_phage_cluster.66/CDD:cd05781-DNA-polymerase-B	7.834753683630768e-47	2.425620335489402e-49	245	0.9459459459459459
sample3_28_1	sample3_28	unclassified_caudo_cluster.52/PDB:5IKN_F-DNA-polymerase	1.65095798727121e-45	5.111325037991362e-48	340	0.5733558178752108
sample3_56_5	sample3_56	some_caudo_cluster.c109/PFAM:PF09681.9-phage-replisome-organiser	8.235207710983797e-45	2.549599910521299e-47	185	0.622895622895623
sample3_22_10	sample3_22	unclassified_caudo_cluster.52/PDB:5IKN_F-DNA-polymerase	1.905912303682807e-43	5.900657286943676e-46	364	0.6138279932546374
sample3_371_2	sample3_371	some_caudo_cluster.e143/PDB:2R6A_B-Replicative-helicase-DnaG-Primase	1.919742254262422e-41	5.943474471400687e-44	103	0.21106557377049182
sample3_222_1	sample3_222	some_caudo_cluster.f130/CDD:cd07386-DNA-polymerase-II,-small-subunit	8.198330047393068e-41	2.538182677211476e-43	82	0.18303571428571427
sample3_16_19	sample3_16	unclassified_caudo_cluster.52/PDB:5IKN_F-DNA-polymerase	3.62005138584479e-37	1.1207589429860031e-39	551	0.9291736930860034
sample3_44_14	sample3_44	crass_cluster.25/PDB:3BH0_A-Helicase-ATPase	2.646922065387672e-35	8.194805155998985e-38	270	0.8359133126934984
sample3_464_2	sample3_464	unclassified_dsDNA_phage_cluster.356/PDB:3BGW_F-DNAB-Like-Replicative-Helicase	3.4494414723641563e-34	1.0679385363356521e-36	171	0.39675174013921116
sample3_48_6	sample3_48	unclassified_caudo_cluster.52/PDB:5IKN_F-DNA-polymerase	7.438307413050296e-30	2.3028815520279553e-32	207	0.3490725126475548
sample3_94_1	sample3_94	some_caudo_cluster.d158/PFAM:PF04492.12-Replication-protein-O	3.895365142421312e-27	1.2059954001304372e-29	72	0.23300970873786409
sample3_46_4	sample3_46	unclassified_caudo_cluster.23/PDB:5MDN_A-DNA-polymerase	1.2323005245098149e-25	3.815171902507167e-28	187	0.25546448087431695
sample3_21_16	sample3_21	all_no_hit_virus1_cluster.755/PDB:3BH0_A-DNAB-replicative-helicase	2.5684670737017662e-23	7.951910444897109e-26	223	0.7533783783783784
sample3_56_6	sample3_56	unclassified_caudo_cluster.32/PDB:4M4W_K-Replicative-helicase	3.9853457736493944e-23	1.233853180696407e-25	203	0.7147887323943662
sample3_403_1	sample3_403	unclassified_caudo_cluster.52/PDB:5IKN_F-DNA-polymerase	1.9689783972127035e-22	6.095908350503726e-25	299	0.5042158516020236
sample3_217_1	sample3_217	podo_cluster.51/PFAM:PF04735.11-DNA-helicase	1.0662911127969561e-20	3.3012108755323716e-23	176	0.24788732394366197
sample3_44_12	sample3_44	some_caudo_cluster.b52/PFAM:PF09681.9-phage-replisome-organiser	1.6661702349087838e-18	5.158421779903356e-21	81	0.3103448275862069
