contig	count
sample3_1	6
sample3_10	16
sample3_103	2
sample3_105	1
sample3_108	1
sample3_11	9
sample3_112	1
sample3_114	2
sample3_115	2
sample3_116	3
sample3_118	2
sample3_12	13
sample3_120	2
sample3_122	1
sample3_123	2
sample3_127	1
sample3_13	2
sample3_135	2
sample3_140	2
sample3_141	3
sample3_144	3
sample3_15	11
sample3_151	1
sample3_155	1
sample3_159	2
sample3_162	2
sample3_164	2
sample3_167	1
sample3_168	2
sample3_17	3
sample3_170	1
sample3_172	1
sample3_174	1
sample3_177	1
sample3_18	1
sample3_180	2
sample3_181	1
sample3_185	2
sample3_189	3
sample3_191	1
sample3_197	2
sample3_2	11
sample3_201	1
sample3_202	3
sample3_205	2
sample3_206	1
sample3_208	2
sample3_211	1
sample3_212	1
sample3_214	3
sample3_215	1
sample3_221	1
sample3_222	1
sample3_224	1
sample3_225	1
sample3_23	7
sample3_230	1
sample3_231	3
sample3_235	1
sample3_236	4
sample3_24	1
sample3_243	1
sample3_245	1
sample3_249	1
sample3_256	1
sample3_257	2
sample3_26	3
sample3_264	1
sample3_269	1
sample3_27	10
sample3_276	2
sample3_277	1
sample3_278	1
sample3_281	2
sample3_287	1
sample3_290	2
sample3_292	3
sample3_293	2
sample3_296	1
sample3_298	2
sample3_3	12
sample3_30	4
sample3_306	2
sample3_307	1
sample3_311	2
sample3_319	1
sample3_327	2
sample3_33	1
sample3_332	1
sample3_336	1
sample3_34	2
sample3_340	1
sample3_343	1
sample3_346	1
sample3_35	3
sample3_353	2
sample3_373	1
sample3_374	1
sample3_376	2
sample3_383	1
sample3_389	1
sample3_39	2
sample3_391	1
sample3_4	16
sample3_401	1
sample3_405	1
sample3_407	1
sample3_412	2
sample3_415	2
sample3_416	1
sample3_419	1
sample3_420	1
sample3_431	1
sample3_436	1
sample3_437	1
sample3_441	1
sample3_442	1
sample3_443	2
sample3_45	3
sample3_456	1
sample3_457	1
sample3_46	2
sample3_461	1
sample3_462	1
sample3_466	1
sample3_467	1
sample3_468	1
sample3_47	2
sample3_49	4
sample3_5	17
sample3_50	7
sample3_51	4
sample3_55	7
sample3_57	4
sample3_6	1
sample3_60	4
sample3_61	4
sample3_62	3
sample3_64	4
sample3_66	1
sample3_67	5
sample3_69	2
sample3_7	13
sample3_70	3
sample3_71	2
sample3_73	3
sample3_74	3
sample3_8	3
sample3_80	4
sample3_82	4
sample3_85	2
sample3_86	2
sample3_87	1
sample3_9	10
sample3_91	2
sample3_92	4
sample3_97	1
sample3_98	2
