ORFquery	contig	target	evalue	pvalue	n_aligned_positions	hmm_coverage
sample3_4_52	sample3_4	phrog_1579/PFAM:PF13641.5-glycosyltransferase	2.1136424425945655e-253	5.603505945372655e-257	481	0.9979253112033195
sample3_17_3	sample3_17	phrog_110/PFAM:PF14594.5-minor-tail-protein	1.097041125911574e-241	2.9083805034771315e-245	549	0.8097345132743363
sample3_55_8	sample3_55	phrog_2753/PFAM:PF04586.16-head-maturation-protease	1.3875158150114058e-227	3.6784618637630057e-231	333	1.0
sample3_30_2	sample3_30	phrog_110/PFAM:PF14594.5-minor-tail-protein	1.97239065250411e-202	5.229031422333272e-206	522	0.7699115044247787
sample3_66_5	sample3_66	phrog_6583/PFAM:PF11713.7-T3SS-secreted-effector-Ibe	2.943536755393486e-194	7.80364993476534e-198	274	0.9415807560137457
sample3_346_3	sample3_346	phrog_2271/PFAM:PF06074.11-portal-protein	1.176257551726931e-185	3.11839223681583e-189	276	0.3213038416763679
sample3_9_15	sample3_9	phrog_1910/PFAM:PF09458.9-lectin	2.5784023708902177e-184	6.835637250504288e-188	272	1.0
sample3_11_3	sample3_11	phrog_850/PFAM:PF11443.7-RNA-binding-protein	3.9999550467547023e-184	1.060433469447164e-187	476	1.0
sample3_26_12	sample3_26	phrog_4017/PFAM:PF11041.7-baseplate-protein	3.399572823503028e-175	9.012653296667624e-179	285	1.0
sample3_45_5	sample3_45	phrog_1698/PFAM:PF05616.12-minor-head-protein;-receptor-binding	7.69878955141429e-160	2.041036466440692e-163	559	0.994661921708185
sample3_3_32	sample3_3	phrog_1082/PFAM:PF02011.14-tail-assembly-protein	4.7720504593029744e-142	1.26512472409941e-145	558	0.525918944392083
sample3_8_1	sample3_8	phrog_2789/PFAM:PF01710.15-transcriptional-regulator	2.8181058530641814e-133	7.471118380339823e-137	252	0.9882352941176471
sample3_15_1	sample3_15	phrog_940/PFAM:PF14386.5-nuclease	1.500994518162998e-132	3.979306781980376e-136	240	0.6185567010309279
