contig	count
sample3_1	1
sample3_126	1
sample3_132	1
sample3_14	2
sample3_142	1
sample3_147	1
sample3_16	1
sample3_18	2
sample3_2	2
sample3_201	1
sample3_21	1
sample3_217	1
sample3_22	1
sample3_222	1
sample3_25	1
sample3_268	1
sample3_28	1
sample3_3	1
sample3_313	1
sample3_326	1
sample3_348	1
sample3_35	1
sample3_357	1
sample3_358	1
sample3_371	1
sample3_403	1
sample3_42	1
sample3_43	1
sample3_44	2
sample3_45	1
sample3_46	1
sample3_464	1
sample3_47	1
sample3_48	1
sample3_5	1
sample3_51	1
sample3_56	2
sample3_57	1
sample3_70	1
sample3_8	2
sample3_88	1
sample3_9	2
sample3_94	1
sample3_99	1
