contig	count
sample3_1	8
sample3_10	4
sample3_103	2
sample3_108	2
sample3_11	5
sample3_112	2
sample3_114	1
sample3_12	6
sample3_120	1
sample3_127	1
sample3_13	2
sample3_14	2
sample3_15	4
sample3_151	2
sample3_16	3
sample3_17	4
sample3_172	1
sample3_174	1
sample3_18	3
sample3_2	9
sample3_206	1
sample3_21	6
sample3_212	1
sample3_22	1
sample3_224	1
sample3_225	1
sample3_23	2
sample3_230	2
sample3_24	3
sample3_243	1
sample3_25	2
sample3_256	1
sample3_26	2
sample3_268	1
sample3_27	4
sample3_278	2
sample3_28	2
sample3_3	9
sample3_30	1
sample3_306	1
sample3_307	1
sample3_33	2
sample3_336	1
sample3_34	2
sample3_340	1
sample3_346	1
sample3_348	1
sample3_35	1
sample3_376	1
sample3_383	1
sample3_389	1
sample3_39	1
sample3_391	1
sample3_4	8
sample3_42	2
sample3_43	2
sample3_431	1
sample3_44	3
sample3_45	2
sample3_467	1
sample3_49	1
sample3_5	5
sample3_55	1
sample3_6	2
sample3_60	1
sample3_64	1
sample3_66	1
sample3_7	7
sample3_74	1
sample3_8	7
sample3_85	1
sample3_86	1
sample3_9	8
sample3_91	2
sample3_92	1
sample3_97	2
